Date,Open,High,Low,Close,Adj Close,Volume
2025-07-25,192.93,195.27,192.13,194.08,193.91,"31,101,800"
2025-07-24,198.11,198.97,191.95,193.20,193.03,"45,252,100"
2025-07-23,192.36,193.36,190.18,191.51,191.34,"34,068,100"
2025-07-22,192.42,193.36,188.49,192.11,191.94,"26,212,900"
2025-07-21,187.10,191.26,187.05,191.15,190.98,"24,665,000"
2025-07-18,186.62,187.36,184.73,185.94,185.77,"21,033,400"
2025-07-17,183.12,185.19,181.50,184.70,184.54,"21,654,400"
2025-07-16,184.32,185.34,183.08,183.77,183.61,"21,152,600"
2025-07-15,183.94,185.41,182.39,183.10,182.94,"23,911,600"
2025-07-14,182.07,184.73,180.71,182.81,182.65,"20,990,400"
2025-07-11,177.91,182.61,177.54,181.31,181.15,"23,975,700"
2025-07-10,176.67,179.59,175.74,178.70,178.54,"24,693,700"
2025-07-09,176.11,180.28,173.88,177.66,177.50,"31,288,000"
2025-07-08,178.78,178.79,173.92,175.16,175.00,"24,108,600"
2025-07-07,180.13,180.34,176.64,177.56,177.40,"20,991,400"
2025-07-03,179.82,180.77,178.19,180.55,180.39,"13,287,400"
2025-07-02,176.54,179.93,176.09,179.76,179.60,"19,325,900"
2025-07-01,176.80,177.22,174.66,176.91,176.75,"25,778,500"
2025-06-30,180.79,181.58,175.50,177.39,177.23,"43,964,600"
2025-06-27,174.63,178.84,172.71,178.27,178.11,"74,053,100"
2025-06-26,173.38,174.65,170.86,174.43,174.27,"25,909,100"
2025-06-25,168.65,173.36,168.56,171.49,171.34,"23,627,400"
2025-06-24,167.68,169.25,166.91,167.74,167.59,"27,310,300"
2025-06-23,167.32,168.48,163.33,166.01,165.86,"36,975,600"
2025-06-20,174.87,175.37,166.27,167.73,167.58,"55,402,600"
2025-06-18,177.28,177.82,172.84,173.98,173.82,"32,531,800"
2025-06-17,177.00,178.71,175.94,177.23,177.07,"17,656,100"
2025-06-16,175.90,178.24,175.82,177.94,177.78,"18,132,500"
2025-06-13,173.58,178.34,173.57,175.88,175.72,"20,873,200"
2025-06-12,177.48,178.13,176.11,176.97,176.81,"17,345,900"
2025-06-11,181.23,181.75,178.00,178.79,178.63,"18,994,400"
2025-06-10,177.76,182.45,176.48,180.01,179.85,"32,908,000"
2025-06-09,175.87,177.91,175.66,177.63,177.47,"18,817,600"
2025-06-06,172.30,175.83,172.30,174.92,174.55,"22,258,100"
2025-06-05,171.62,172.36,169.35,169.81,169.45,"25,375,400"
2025-06-04,168.28,169.58,167.79,169.39,169.04,"18,508,700"
2025-06-03,168.87,169.80,166.68,167.71,167.36,"25,386,700"
2025-06-02,169.01,171.06,168.65,170.37,170.01,"24,742,900"
2025-05-30,172.41,173.44,168.52,172.85,172.49,"36,258,300"
2025-05-29,175.00,175.40,171.78,172.96,172.60,"21,174,700"
2025-05-28,173.98,176.48,173.01,173.38,173.02,"25,999,200"
2025-05-27,171.30,174.29,171.21,173.98,173.62,"24,341,300"
2025-05-23,170.28,171.21,169.26,169.59,169.24,"24,963,600"
2025-05-22,173.35,178.13,171.88,171.98,171.62,"45,024,100"
2025-05-21,164.95,174.53,164.89,170.06,169.70,"45,567,600"
2025-05-20,167.76,169.68,164.26,165.32,164.97,"33,563,300"
2025-05-19,165.71,167.95,165.41,167.87,167.52,"21,374,700"
2025-05-16,168.93,170.65,166.95,167.43,167.08,"36,271,400"
2025-05-15,167.14,167.51,163.84,165.40,165.05,"22,717,600"
2025-05-14,161.31,168.34,160.93,166.81,166.46,"31,769,200"
2025-05-13,159.92,162.06,157.58,160.89,160.55,"24,944,300"
2025-05-12,159.10,160.44,157.89,159.58,159.25,"31,884,900"
2025-05-09,155.55,156.43,153.83,154.38,154.06,"22,871,000"
2025-05-08,155.92,157.41,154.10,155.75,155.42,"38,387,500"
2025-05-07,166.07,166.99,149.49,152.80,152.48,"78,729,800"
2025-05-06,163.96,166.74,163.13,165.20,164.85,"10,691,900"
2025-05-05,164.51,167.10,164.47,166.05,165.70,"15,309,300"
2025-05-02,164.96,166.70,163.66,165.81,165.46,"16,844,900"
2025-05-01,162.52,163.94,160.93,162.79,162.45,"21,904,300"
2025-04-30,159.86,161.37,157.15,160.89,160.55,"20,639,500"
2025-04-29,162.04,162.68,159.39,162.06,161.72,"15,955,200"
2025-04-28,164.26,164.95,160.38,162.42,162.08,"20,871,200"
2025-04-25,167.10,168.24,163.00,163.85,163.51,"35,148,100"
2025-04-24,158.52,161.71,158.09,161.47,161.13,"30,787,500"
2025-04-23,157.91,160.02,156.35,157.72,157.39,"18,575,700"
2025-04-22,151.07,154.61,150.87,153.90,153.58,"15,910,300"
2025-04-21,150.96,151.06,148.40,149.86,149.55,"16,147,800"
2025-04-17,156.61,157.07,150.90,153.36,153.04,"19,513,400"
2025-04-16,155.47,158.18,153.91,155.50,155.17,"16,921,500"
2025-04-15,161.57,162.05,157.65,158.68,158.35,"15,690,800"
2025-04-14,162.31,164.03,159.92,161.47,161.13,"18,255,900"
2025-04-11,155.59,159.86,155.59,159.40,159.07,"22,582,000"
2025-04-10,158.76,160.03,152.20,155.37,155.04,"35,270,500"
2025-04-09,146.33,161.87,145.81,161.06,160.72,"46,479,500"
2025-04-08,153.57,154.44,145.21,146.58,146.27,"35,304,400"
2025-04-07,143.39,154.93,142.66,149.24,148.93,"47,823,000"
2025-04-04,149.90,153.09,147.54,147.74,147.43,"39,832,200"
2025-04-03,152.84,154.69,152.18,152.63,152.31,"28,416,100"
2025-04-02,156.96,160.27,156.53,158.86,158.53,"17,113,300"
2025-04-01,155.30,160.08,155.26,158.88,158.55,"20,111,400"
2025-03-31,154.81,157.13,152.21,156.23,155.90,"33,591,600"
2025-03-28,162.36,163.81,155.34,156.06,155.73,"34,866,500"
2025-03-27,166.71,167.44,163.85,164.08,163.74,"21,571,200"
2025-03-26,171.30,171.94,166.86,167.14,166.79,"22,498,000"
2025-03-25,171.18,172.91,170.55,172.79,172.43,"13,841,600"
2025-03-24,169.26,170.50,167.44,169.93,169.57,"18,742,800"
2025-03-21,163.38,166.47,163.03,166.25,165.90,"29,882,100"
2025-03-20,163.82,167.03,163.14,165.05,164.70,"19,981,500"
2025-03-19,163.91,168.13,163.05,166.28,165.93,"24,955,700"
2025-03-18,165.96,166.44,158.80,162.67,162.33,"24,616,800"
2025-03-17,167.32,168.46,165.81,166.57,166.22,"17,839,100"
2025-03-14,165.32,168.25,164.51,167.62,167.27,"18,611,100"
2025-03-13,167.98,168.12,164.07,164.73,164.39,"15,206,200"
2025-03-12,168.47,169.53,165.48,169.00,168.65,"19,880,100"
2025-03-11,166.68,168.65,163.24,165.98,165.63,"23,705,900"
2025-03-10,170.16,170.45,165.57,167.81,167.46,"28,990,700"
2025-03-07,173.24,176.90,172.25,175.75,175.18,"16,395,300"
2025-03-06,172.55,176.73,172.51,174.21,173.65,"19,082,400"
2025-03-05,172.32,175.75,170.93,174.99,174.43,"18,848,000"
2025-03-04,167.94,175.16,167.54,172.61,172.05,"30,711,400"
2025-03-03,173.73,175.00,167.64,168.66,168.12,"24,122,000"
2025-02-28,170.30,172.50,168.39,172.22,171.66,"30,049,800"
2025-02-27,175.94,176.59,169.75,170.21,169.66,"25,930,500"
2025-02-26,176.95,178.08,173.59,174.70,174.14,"23,637,200"
2025-02-25,180.15,180.76,176.77,177.37,176.80,"20,832,500"
2025-02-24,183.80,185.09,180.88,181.19,180.61,"18,734,000"
2025-02-21,187.29,187.47,181.13,181.58,180.99,"19,520,800"
2025-02-20,186.50,187.12,184.60,186.64,186.04,"12,063,800"
2025-02-19,186.18,187.36,185.50,187.13,186.53,"13,120,500"
2025-02-18,187.44,187.78,183.58,185.80,185.20,"19,796,000"
2025-02-14,186.83,188.15,186.11,186.87,186.27,"12,714,200"
2025-02-13,185.93,187.99,184.88,187.88,187.27,"12,729,300"
2025-02-12,185.23,186.83,183.63,185.43,184.83,"17,632,300"
2025-02-11,186.84,188.80,186.08,187.07,186.47,"13,028,100"
2025-02-10,189.06,189.99,187.61,188.20,187.59,"16,606,000"
2025-02-07,192.74,193.01,185.10,187.14,186.54,"29,565,700"
2025-02-06,190.99,193.83,190.49,193.31,192.69,"20,816,600"
2025-02-05,193.10,194.55,189.91,193.30,192.68,"43,666,400"
2025-02-04,204.50,208.70,204.26,207.71,207.04,"28,285,400"
2025-02-03,202.21,205.22,201.66,202.64,201.99,"16,719,500"
2025-01-31,203.71,207.08,203.58,205.60,204.94,"17,060,300"
2025-01-30,199.76,203.24,199.47,202.63,201.98,"14,571,500"
2025-01-29,197.37,198.46,195.19,197.18,196.54,"12,287,800"
2025-01-28,194.65,197.23,192.61,197.07,196.43,"15,939,200"
2025-01-27,194.19,198.67,192.70,193.77,193.14,"24,970,200"
2025-01-24,199.85,202.57,199.78,201.90,201.25,"12,732,400"
2025-01-23,199.98,201.94,196.82,199.58,198.94,"15,170,800"
2025-01-22,200.55,202.12,199.20,200.03,199.38,"15,477,400"
2025-01-21,200.51,203.84,199.44,199.63,198.99,"19,005,200"
2025-01-17,198.05,198.81,195.31,197.55,196.91,"22,109,100"
2025-01-16,195.82,196.98,194.30,194.41,193.78,"13,449,600"
2025-01-15,194.35,197.80,193.33,196.98,196.34,"12,894,900"
2025-01-14,192.50,193.27,189.64,191.05,190.43,"13,651,200"
2025-01-13,191.35,192.49,188.66,192.29,191.67,"13,169,100"
2025-01-10,195.42,197.62,191.60,193.17,192.55,"20,753,800"
2025-01-08,193.95,197.64,193.75,195.39,194.76,"14,335,300"
2025-01-07,198.27,202.14,195.94,196.71,196.08,"16,966,800"
2025-01-06,195.15,199.56,195.06,197.96,197.32,"19,483,300"
2025-01-03,192.73,194.50,191.35,193.13,192.51,"12,875,000"
2025-01-02,191.49,193.20,188.71,190.63,190.01,"17,545,200"
2024-12-31,192.45,193.25,189.58,190.44,189.83,"14,355,200"
2024-12-30,190.87,193.78,190.36,192.69,192.07,"12,209,500"
2024-12-27,196.47,196.80,191.97,194.04,193.41,"14,693,000"
2024-12-26,196.74,198.16,195.87,197.10,196.46,"7,907,900"
2024-12-24,196.17,197.67,195.20,197.57,196.93,"6,809,800"
2024-12-23,194.03,196.49,191.63,195.99,195.36,"15,235,900"
2024-12-20,187.01,194.13,186.37,192.96,192.34,"45,319,700"
2024-12-19,193.28,194.60,189.52,189.70,189.09,"26,981,200"
2024-12-18,196.83,198.69,189.28,190.15,189.54,"27,638,400"
2024-12-17,198.53,202.88,196.69,197.12,196.48,"24,129,500"
2024-12-16,194.37,200.64,194.11,198.16,197.52,"32,248,600"
2024-12-13,192.71,194.34,191.26,191.38,190.76,"18,883,200"
2024-12-12,196.30,196.71,193.28,193.63,193.00,"25,197,800"
2024-12-11,186.70,196.89,186.26,196.71,196.08,"41,664,500"
2024-12-10,184.54,188.03,182.67,186.53,185.93,"34,317,400"
2024-12-09,175.71,178.04,175.40,177.10,176.53,"19,887,800"
2024-12-06,173.88,176.84,173.55,176.49,175.72,"13,319,500"
2024-12-05,177.32,177.71,174.01,174.31,173.55,"16,145,500"
2024-12-04,172.78,176.43,172.75,176.09,175.32,"18,239,800"
2024-12-03,173.12,174.32,172.51,173.02,172.27,"15,721,500"
2024-12-02,170.32,173.60,170.27,172.98,172.23,"16,593,400"
2024-11-29,170.06,170.87,168.75,170.49,169.75,"9,250,700"
2024-11-27,170.68,171.14,169.67,170.82,170.08,"12,433,400"
2024-11-26,169.49,171.49,169.43,170.62,169.88,"14,937,500"
2024-11-25,167.99,170.46,167.40,169.43,168.69,"21,395,700"
2024-11-22,167.16,168.26,165.71,166.57,165.84,"24,497,000"
2024-11-21,175.46,175.58,165.31,169.24,168.50,"38,839,400"
2024-11-20,178.83,179.11,175.33,177.33,176.56,"15,729,800"
2024-11-19,175.24,180.17,175.12,179.58,178.80,"15,392,900"
2024-11-18,174.96,176.91,174.42,176.80,176.03,"18,662,800"
2024-11-15,175.64,175.88,172.74,173.89,173.13,"21,708,900"
2024-11-14,179.75,180.45,176.03,177.35,176.58,"17,925,800"
